Reusable SEO Reporting System,,,,,,
,,,,,,
Configure one client/project here. All analysis tabs use these controls.,,,,,,
,,,,,,
,PROJECT CONFIGURATION,,,,,
,Setting,Value,Instruction,,,
,Client / Project Name,Demo Client,Replace for each project,,,
,Website,https://example.com/,Primary property,,,
,Business Model,Lead Generation,Lead Generation / Ecommerce / Publisher / Local,,,
,Primary Conversion Label,Lead,Lead / Sale / Booking / Enquiry / Admission,,,
,Primary Revenue Label,Pipeline Value,Revenue / Pipeline Value / None,,,
,Currency,â¹,Symbol used in reports,,,
,Reporting Frequency,Monthly,Weekly / Monthly / Both,,,
,Current Period Start,2026-06-01,Editable,,,
,Current Period End,2026-06-30,Editable,,,
,Previous Period Start,2026-05-01,Editable,,,
,Previous Period End,2026-05-31,Editable,,,
,YoY Period Start,2025-06-01,Optional,,,
,YoY Period End,2025-06-30,Optional,,,
,Brand Terms,demo client|example,Pipe-separated brand regex/keywords,,,
,Primary Market,India,Country/region,,,
,,,,,,
,KPI TARGETS,,,,,
,Metric,Weekly Target,Monthly Target,Quarterly Target,Direction,Executive KPI?
,Organic Conversions,35,150,450,Higher,Yes
,Qualified Organic Conversions,24,105,315,Higher,Yes
,Organic Sessions,4200,18000,54000,Higher,Yes
,Organic Clicks,2300,9500,28500,Higher,Yes
,Organic Conversion Rate,0.80%,0.90%,1.00%,Higher,Yes
,Non-brand Click Share,65%,70%,72%,Higher,Yes
,Weighted Visibility,18%,20%,24%,Higher,Yes
,Indexation Ratio,95%,97%,98%,Higher,Yes
,CWV Pass Rate,85%,90%,95%,Higher,Yes
,Critical Issue Rate,2%,1%,0.5%,Lower,Yes
,,,,,,
,CONTROL LISTS,,,,,
,Status,Priority,Owner,Page Type,Conversion Stage,
,On Track,Critical,SEO,Homepage,New,
,Watch,High,Content,Service / Course,Qualified,
,At Risk,Medium,Development,Blog,Contacted,
,Completed,Low,Sales / Admissions,Category,Application,
,In Progress,,Analytics,Product,Customer / Admission,
,Planned,,Management,Location,Lost,
,,,,,,
,D.  COST & ROI INPUTS  (new â required for Cost per Conversion / Organic ROI),,,,,
,Setting,Value,Instruction,,,
,Monthly SEO Cost (agency + tools + content),"60,000",USER-SUPPLIED. Drives Cost per Conversion and Organic ROI. Currently absent from the source workbook.,,,
,Benchmark CPC (paid-media equivalent),45,USER-SUPPLIED. Drives Organic Click Value â the paid budget this channel replaced.,,,
,Avg Value per Conversion (fallback),"12,648",Calculated from current-period pipeline / conversions. Used only if a period lacks CRM revenue.,,,
,,,,,,
,E.  TARGET CALIBRATION NOTE,,,,,
,"Non-brand Click Share target reset: the original 70% target (row 30) required a ~6x increase in non-brand clicks and is not reachable on current growth rates. Recommended: 34% at 90 days, 45% at 12 months. Row 30 target left unchanged so history is preserved â track against C53:D53 below.",,,,,
,Metric,90-Day Target,12-Month Target,,,
,Non-brand Click Share (recalibrated),34%,45%,,,
,,,,,,
,F.  ORGANIC CTR BENCHMARK CURVE BY POSITION  (ported from Report A),,,,,
,ASSUMPTION: blended desktop+mobile industry curve. Not this site's own data. Replace with a GSC position-vs-CTR export once 3+ months of query-level history exist â every Click Gap / Opportunity Score figure depends on this curve.,,,,,
,Position,Benchmark CTR,,,,
,1,27.6%,,,,
,2,15.8%,,,,
,3,11.0%,,,,
,4,8.4%,,,,
,5,6.5%,,,,
,6,5.2%,,,,
,7,4.3%,,,,
,8,3.6%,,,,
,9,3.1%,,,,
,10,2.7%,,,,
,11,2.4%,,,,
,12,2.1%,,,,
,13,1.9%,,,,
,14,1.7%,,,,
,15,1.5%,,,,
,16,1.4%,,,,
,17,1.3%,,,,
,18,1.2%,,,,
,19,1.1%,,,,
,20,1.0%,,,,
,Position > 20 (floor),0.5%,,,,
,,,,,,
,G.  OPPORTUNITY SCORE WEIGHTING  (ported from Report A),,,,,
,"Weights positions 4-10 highest â the cheapest wins (page 1, not yet top 3).",,,,,
,Position Band,Weight,,,,
,Position 1-3,0.5,,,,
,Position 4-10,1.5,,,,
,Position 11-20,1,,,,
,Position > 20,0.4,,,,
,,,,,,
,H.  ANOMALY DETECTION THRESHOLDS  (ported from Report A),,,,,
,Threshold,Value,,,,
,Anomaly when deviation vs trailing avg >=,25%,,,,
,Watch when deviation vs trailing avg >=,15%,,,,
,Stale content age (days),365,,,,
,Content decay when session change <=,-20%,,,,
,Min sessions for CRO/decay flag,300,,,,
